id,title,description,link,image_link,price,brand,availability,condition
bd54ed10-233b-4558-9183-8b7b46d1ce19,Volkswagen Polo 1.0 TSI Life Edition,,https://www.almn.nl/p/volkswagen-polo-1-0-tsi-life-edition-49845581,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5588/c997cedf-a6c5-4256-80db-afc635c178b2.jpg,"€ 0,00",Volkswagen,in stock,used
9ad133a6-8630-49f3-8fca-7bdfef1e7b20,Škoda Kodiaq 1.5 TSI 150pk DSG MHEV Sportline Business 7p,,https://www.almn.nl/p/skoda-kodiaq-1-5-tsi-150pk-dsg-mhev-sportline-business-7p-47908501,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5557/9369b94d-3e4b-4e27-a845-aaf86b4de414.jpg,"€ 0,00",Škoda,in stock,used
45e5a5ca-1774-4f15-accf-ca092bc37661,Škoda Kamiq 1.0 TSI Business Edition,,https://www.almn.nl/p/skoda-kamiq-1-0-tsi-business-edition-47893216,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5553/6e61947e-9264-4fb4-a84d-373314f026da.jpg,"€ 0,00",Škoda,in stock,used
f08e7a4b-def9-49d3-a885-33c8b7ed5023,Škoda Fabia 1.0 TSI 95pk Selection,,https://www.almn.nl/p/skoda-fabia-1-0-tsi-95pk-selection-44669698,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5547/49cc3772-ff01-4696-a44e-84d28039a035.jpg,"€ 0,00",Škoda,in stock,used
76c3d76d-d5f1-4381-a954-3a40053bd929,Volkswagen T-Cross 1.0 TSI Life Edition,,https://www.almn.nl/p/volkswagen-t-cross-1-0-tsi-life-edition-47893342,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5548/d1be1f3d-1e89-490b-86c7-ed59cda5fefb.jpg,"€ 0,00",Volkswagen,in stock,used
99841490-caf8-4696-9567-810369c88231,Škoda Kodiaq 1.5 TSI 150pk DSG MHEV First Edition 7p.,,https://www.almn.nl/p/skoda-kodiaq-1-5-tsi-150pk-dsg-mhev-first-edition-7p-44671600,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5541/154ce8da-f4bf-41e4-a1ed-3e0084ae0f61.jpg,"€ 0,00",Škoda,in stock,used
172ee2d3-2ecc-4e6e-aecf-be27e55cdd51,Volkswagen T-Cross 1.0 TSI Life 95pk Edition,,https://www.almn.nl/p/volkswagen-t-cross-1-0-tsi-life-95pk-edition-49469241,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5539/f541cb28-0644-4f4c-ae16-33ec8a30af1f.jpg,"€ 0,00",Volkswagen,in stock,used
3c120cd8-0ea4-4d6f-bee0-3c0356fe28f4,SEAT Arona 1.0 DSG EcoTSI Style,,https://www.almn.nl/p/seat-arona-1-0-dsg-ecotsi-style-42748861,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5527/bc10fe83-1021-491d-bcd5-c1674e24a545.jpg,"€ 0,00",SEAT,in stock,used
453d8968-5b7d-4281-84d0-8e3e8d643e68,Volkswagen Tiguan 1.5 DSG eHybrid Life Edition,,https://www.almn.nl/p/volkswagen-tiguan-1-5-dsg-ehybrid-life-edition-46421100,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5515/bd9dc913-6945-425f-8fef-41f1486a88d0.jpg,"€ 0,00",Volkswagen,in stock,used
97497a49-fb94-45ba-843d-1342a5d6f261,Volkswagen Tayron 1.5 eTSI DSG Life Edition 7p.,,https://www.almn.nl/p/volkswagen-tayron-1-5-etsi-dsg-life-edition-7p-47914181,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5506/5add8a48-1294-44d7-a3f1-7cf7652adde4.jpg,"€ 0,00",Volkswagen,in stock,used
99593889-cc84-4a4c-979b-7f6c5fd33b66,Škoda Karoq 1.5 TSI 150pk DSG ACT Business Edition,,https://www.almn.nl/p/skoda-karoq-1-5-tsi-150pk-dsg-act-business-edition-42748893,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5458/2a12c8af-eaa2-42f8-9e67-35807b9de2f9.jpg,"€ 0,00",Škoda,in stock,used
f510b5e3-aa49-489c-a6a9-611e1a256c23,Škoda Kamiq 1.0 TSI DSG Business Edition,,https://www.almn.nl/p/skoda-kamiq-1-0-tsi-dsg-business-edition-48591956,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5430/9adc3b3e-1d80-43c3-9270-c36cbd6241a3.jpg,"€ 0,00",Škoda,in stock,used
2279c257-beaa-44c3-b6da-1e45c0b4b6d6,Volkswagen T-Roc 1.0 TSI 115pk Life Edition,,https://www.almn.nl/p/volkswagen-t-roc-1-0-tsi-115pk-life-edition-47908645,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5424/1063a65d-d0dc-4d36-9de9-0ce0c8fb627f.jpg,"€ 31.992,00",Volkswagen,in stock,used
ec61bed8-dd3e-4623-a3c0-6b01c26d8d20,Volkswagen Polo 1.0 TSI 95pk Life Edition,,https://www.almn.nl/p/volkswagen-polo-1-0-tsi-95pk-life-edition-47915287,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5419/2bd90bb8-5491-46e7-a535-5086a9cbe777.jpg,"€ 23.809,00",Volkswagen,in stock,used
ae1e34f0-2bf2-4020-9f11-dbdbf887a230,Volkswagen Polo 1.0 TSI Life Edition,,https://www.almn.nl/p/volkswagen-polo-1-0-tsi-life-edition-49469316,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5418/3734b4b8-b6d1-4a33-8bb0-5b11a6dafaf2.jpg,"€ 0,00",Volkswagen,in stock,used
3568ffdc-2d20-4dad-b76c-422320b2f29c,Škoda Kamiq 1.0 TSI 115pk Business Edition,,https://www.almn.nl/p/skoda-kamiq-1-0-tsi-115pk-business-edition-47908788,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5412/4e153a69-2331-4827-9403-44e02ee639c2.jpg,"€ 27.236,00",Škoda,in stock,used
e7613fcd-2759-4193-a977-1a89cc84f69c,Škoda Kodiaq 1.5 TSI DSG Business Edition 7p.,,https://www.almn.nl/p/skoda-kodiaq-1-5-tsi-dsg-business-edition-7p-47908847,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5410/ccc888f2-cf87-4efe-a7a8-3b6f9e658fff.jpg,"€ 0,00",Škoda,in stock,used
